iso2,year,indice_riesgo_climatico,PIBpc,renta_rec_nat,impuestos_ambientales,protec_der_lab
EC,1994,,1996.858947894442,6.69476702573695,80.6114931237721,
EC,1995,,2108.00698245316,7.81653810988059,61.22909004626883,
EC,1996,,2135.847937430799,9.06384330500035,67.92291220556746,
EC,1997,,2340.7660002685748,7.15232502703141,63.05732484076433,
EC,1998,,2284.0157284776915,4.06421827365714,59.74288337924701,
EC,1999,,1575.3023473097069,8.23306097190049,69.6255335661622,
EC,2000,,1382.2342175990902,16.7324376195742,71.7228609121749,
EC,2001,,1791.303596850374,9.40733648144871,63.98787330316742,
EC,2002,,2059.1585535974045,8.38814722027282,63.28757675161915,
EC,2003,,2315.622152230139,8.74010782962713,62.189676078295506,
EC,2004,,2586.2091466334664,12.5726365426945,58.93292004450803,
EC,2005,,2909.0260601438827,16.8498380565704,52.11511489107728,
EC,2006,,3243.6701035933856,18.3894115217757,48.1250909572005,
EC,2007,,3478.9248877067143,16.9001920320212,53.39672376997173,
EC,2008,,4194.757506619805,18.9618727793611,61.8214842280617,
EC,2009,,4053.36331139298,9.26408283902812,51.71168902272105,
EC,2010,,4520.30959039763,11.7907315375663,45.49159405433112,
EC,2011,,5153.691642437503,16.5773760059007,55.795727832632714,
EC,2012,,5634.083931910944,14.5265186334151,54.87341882960563,
EC,2013,,6109.290315103414,12.8813253368088,48.98589975066632,
EC,2014,,6405.799793004407,11.5903571785583,49.17983214021229,
EC,2015,,5976.159680565097,4.63202397853143,52.55868978805395,
EC,2016,,5917.63771271481,3.75806780861528,60.21308534397539,
EC,2017,,6233.322447977176,4.98372023451617,73.69239824492563,
EC,2018,,6303.918866583376,7.0964207852671,72.57411523337322,
EC,2019,,6205.057652467664,5.82070104913459,78.24132057356995,
EC,2020,,5463.645153485981,2.92430668533391,79.71569380440349,
EC,2021,,6061.323501817112,6.69943720189179,80.94837648227478,
EC,2022,,6515.585284183364,,,
EC,2023,,6737.847483796376,,,
EC,2024,,6874.705739766,,,
EC,2025,,,,,
SV,1990,,892.1827151970303,0.835429774031668,93.19206492335438,
SV,1991,,955.8268974210916,1.10154936595353,73.704832390074,
SV,1992,,1040.7816408201863,0.781151128746524,75.86062132661628,
SV,1993,,1180.2685426762075,0.559922378466846,68.199784405318,
SV,1994,,1343.9290572543953,0.567410530010439,58.94502700985065,
