iso2,year,superficie_forestal,co2_emissions_moreno,vab_manufactura,vab_agricultura,vab_servicios,huella_ecologica,impuesto_medioambiental_moreno
CO,2023,14390409,92.7973,41078398530.26488,8.807922946530335,218240936979.75696,171976567249364.0,0.716583036468305
CO,2024,14375631,95.0793,40222750530.19383,9.282796359922107,222664702790.86594,171948921058615.0,
CO,2025,14360816,,,,,,
CR,1990,6351374,2.9164,3681320806.560583,15.787421160150018,12297770754.080853,757709173326184.0,
CR,1991,63878946,3.1538,3758607167.465648,11.944556990087086,11064184680.876047,758634918148454.0,
CR,1992,64245954,4.2433,4131649849.9554315,11.900149109397384,11948635415.561638,764490146576581.0,
CR,1993,6461479,4.2651,4343029463.012351,11.828230011597718,12769963202.289442,754555456534339.0,
CR,1994,6498545,5.0045,4423289113.889513,12.319967978545554,13362019883.471508,75220843064397.0,0.383613959994072
CR,1995,6535796,4.9676,4578063678.629947,12.758127450194658,13750885676.89136,746667164974853.0,0.459304318319543
CR,1996,6573234,4.7451,4553784690.263242,12.102496408445306,14003490566.552504,744043645723606.0,0.385002383822902
CR,1997,6610859,4.6808,4896113898.379596,12.503091336030103,14668587350.867525,735677148985895.0,0.43124194741748
CR,1998,6648673,5.1796,5185160128.935248,12.618968848322002,15560946601.99509,744565483576679.0,0.577335714342326
CR,1999,6686678,5.1692,5296321591.7780075,11.109692963448312,16508804447.368082,73193872287199.0,0.580889149650701
CR,2000,6724874,5.1314,5465373705.031359,9.24882318534345,17309845587.37902,732613786182611.0,1.00741260614249
CR,2001,6738016,5.5322,5434443764.344254,8.379536270073837,18052190788.709812,736066092627002.0,1.23855968747133
CR,2002,67511804,5.6463,5622886277.289105,8.427750290184372,18894024802.12324,71995988097083.0,1.10122718
CR,2003,67643665,6.0688,5699964505.24636,8.840078008715135,19771413852.777866,724855179724577.0,1.24205624949405
CR,2004,67775756,6.1802,5929138403.236777,8.852408768002377,20775000961.97955,731750560873965.0,1.23532987825381
CR,2005,6790806,6.3561,6142115919.113648,8.622236946267266,21790038267.79665,725163766469663.0,0.878609770778332
CR,2006,68040594,6.9054,6390884610.828146,8.429828197066335,23479990751.57614,733921281063168.0,0.933453605594638
CR,2007,6817336,7.7137,6571962691.923149,7.915311043429034,25553700356.540478,732331732768763.0,1.06611252601174
CR,2008,68306334,7.6303,6421666669.68355,6.9769604693420515,27488173086.35938,726086829047299.0,0.896895326606377
CR,2009,6843954,7.3188,5908737100.021772,7.049629700662079,28132913331.094013,7221803838008.0,0.897385729418647
CR,2010,68572976,7.2362,6312553607.543413,6.485189408359466,29853688588.425762,725077911380949.0,0.917404038893957
CR,2011,6898815,7.6984,6549894298.866868,5.59987212230861,31367970438.074017,73518451306655.0,0.663907202856393
CR,2012,694041,7.6394,6818477767.546171,5.13084191429059,33125327116.19476,747819759715372.0,0.628107311663856
CR,2013,69820836,7.9353,6814050189.655849,4.783350932948526,34694167788.383385,739723469737357.0,0.771259202880026
CR,2014,70238344,8.0462,6830655534.077661,4.887883789831394,36277530230.80802,752970497619002.0,0.753264979008598
CR,2015,70656635,7.7578,6551259867.798867,4.749110429048406,37984260774.12326,749521901058207.0,0.852315299059156
CR,2016,7079561,8.2325,6829694005.482634,4.9143557868633,39598673250.26246,763340188019289.0,0.871410492388476
CR,2017,70934795,8.396,7099894083.890714,4.6997763315990095,41607733594.795105,758266630295239.0,0.861647803353042
CR,2018,71074195,8.4405,7398416600.9111,4.4838283372217305,42790140957.76025,759204495912604.0,0.828964398346635
CR,2019,7121381,8.193,7621018704.219235,4.202051163024645,44351858813.52721,747437212618773.0,0.793645631671708
CR,2020,71353644,7.1754,7784317417.105638,4.344225560354967,41915946322.69653,760816644792882.0,0.746044983722528
CR,2021,7152405,8.0531,9188901473.927069,4.366713259371273,44470210818.429276,78151650783465.0,0.667250904390987
CR,2022,71694866,8.1977,9501134250.24792,4.140073620900854,46947107876.393524,772224646693245.0,0.564106262549267
CR,2023,7186609,8.0978,10299205401.14919,3.8004765728883916,48928450337.87799,772266030981024.0,0.663859871876262
CR,2024,7203773,8.3763,10861164972.114328,3.562426141678225,51093687497.49038,772312837466019.0,
CR,2025,7220978,,,,,,
CU,1990,53228565,38.665,9543138455.388365,13.040549053701477,,101205135142923.0,
CU,1991,54253127,30.1272,8637196363.965471,12.775946796913013,,975879403996973.0,
CU,1992,5528276,23.9171,7211545854.651458,12.426619379304297,,926840571313044.0,
CU,1993,56317504,21.8742,6382932809.416733,9.57115301865687,,839292218737965.0,
CU,1994,5735739,22.5031,6870352120.507485,7.8998077016052894,,832979064648365.0,
CU,1995,58402464,23.9447,7311703133.3277855,6.883297723111164,,810897466865309.0,
CU,1996,5945276,25.934,7887968795.980127,7.133444054010364,25124251594.546253,86951936073542.0,
CU,1997,6050832,28.3832,8375185430.720973,7.1868114983827445,25589481600.512196,874336029034566.0,
CU,1998,6156918,27.863,7694488614.974603,6.1174220512051845,26757872846.044586,874217563434157.0,
CU,1999,62635385,28.6425,8247881602.398606,6.124179678630013,28223286496.064632,988799313608917.0,
CU,2000,6370697,28.9959,8672347908.164688,6.601255013839177,29617014695.73944,102888299045847.0,
CU,2001,64966165,27.8233,8620236284.389668,6.379567204504709,31249074448.53629,106829257623096.0,
CU,2002,6622748,26.5653,8633219111.0741,5.945728703055924,31931164611.20533,109488677968648.0,
CU,2003,6749092,25.7977,8462098242.691768,5.74521185921362,33584850458.028015,116465246606254.0,
CU,2004,6875649,25.3168,8671987274.090118,5.474439180169097,35896632552.98012,118564095971372.0,
CU,2005,7002419,26.2056,9495959499.736269,4.363652218426943,40989118338.88595,108779773323278.0,
CU,2006,7129403,26.7903,9938534143.971577,3.405014523309343,46142191916.098335,108258666004562.0,
CU,2007,72566025,27.6113,10897279831.209576,3.9081016792397776,49867562857.776024,114485029670176.0,
CU,2008,7384016,26.6685,11466180083.839985,3.8170386950036423,52001442704.79293,112908542358637.0,
CU,2009,7511646,26.9425,11570944282.501877,3.9304123711340204,53346996175.422615,102765695071627.0,
CU,2010,7639492,28.1815,11697166208.60054,3.6142892675040414,55454356432.6852,997900652370702.0,
CU,2011,779417,27.7479,12158777824.047085,3.6048702710537763,57064474382.05437,109027511405892.0,
CU,2012,7949136,28.8886,12425647039.227118,3.850097756388346,58661963955.35005,114833454615769.0,
CU,2013,8104392,29.0223,12681697232.170124,3.9249235236169437,60028985665.30466,117437722295654.0,
CU,2014,8259938,26.9056,12223691957.469255,3.9377058895731385,61427578315.44297,122225616334881.0,
CU,2015,8415775,29.4411,12990400000.0,3.8357541591685336,63396500000.0,123277852256853.0,
CU,2016,84665425,27.3043,12315473329.44671,3.9383388809409046,64183405684.07896,123223526973173.0,
CU,2017,8517389,26.5091,12182646750.906414,3.8001810121052806,65535509809.087364,123669627469955.0,
CU,2018,85683145,26.7819,12071143743.92715,3.782372948089321,66927867514.2488,124784451690691.0,
CU,2019,8619319,22.292,11334728963.660086,3.5673263229544143,67891728318.05744,125315488458643.0,
CU,2020,8670402,18.4817,9683024902.140417,2.7619420225054028,60279974639.76515,115705665925093.0,
CU,2021,8686097,21.7552,8155739596.346575,0.8820325080976783,62759871991.19551,112478832650382.0,
CU,2022,870183,19.7637,7603969462.258126,0.8006722551031208,65435509171.76486,118151325390236.0,
CU,2023,8717601,20.0277,7082853224.507925,1.4057874013374094,64403139427.757576,118118988572451.0,
CU,2024,873341,21.0042,6368797756.864051,1.2397463719349742,64369989940.56468,118083537507144.0,
CU,2025,8749256,,,,,,
DO,1990,49087923,8.0187,3834532126.42089,13.422823866357666,12539789409.05568,517160173634467.0,
DO,1991,4928675,8.3924,4021301075.9320197,12.505731164082473,12058517740.053934,503533925607234.0,
DO,1992,49486563,9.7438,4419652649.4839,12.012837108294248,13177667284.694658,514050979890328.0,
DO,1993,49687363,9.6205,4541174440.361608,10.781496190242454,14139152846.710794,505098243162208.0,
DO,1994,49889162,11.2454,4647320313.844506,9.994485201392763,14655155955.556326,503365523611745.0,
DO,1995,5009197,11.9581,4873220000.806587,9.814777609557146,15547905907.585867,510003030852141.0,
DO,1996,50295793,12.8696,5172017903.133793,9.19340246436474,16259050648.611732,526846986026586.0,
DO,1997,5050063,14.6454,5736112749.104613,9.144299034862161,17658322465.046272,517240478874316.0,
DO,1998,50706502,16.7942,6114732989.366972,8.991809962449754,18289514115.596252,524131552371178.0,
DO,1999,50913412,18.2069,6616983430.356509,7.82103071357272,19346060491.44337,52190428848001.0,
DO,2000,5112136,19.0138,6889627876.640001,6.718342047478938,20103125719.614056,538152231824559.0,
DO,2001,5121272,19.1483,6679000120.089798,6.997518612709746,21270213311.995094,55852204190324.0,
DO,2002,51304232,21.0187,6995381335.98378,6.805119218290372,22224573852.61697,565768150122999.0,
DO,2003,51395897,18.7928,7053983294.6404505,6.6938498439482625,22404817752.67601,566264680737405.0,
DO,2004,51487718,17.4255,7498385076.697353,7.020472992553918,23135725972.32778,56387198873724.0,
DO,2005,51579695,18.79,7955366458.768132,7.21193528375622,25113007881.215134,541433944143539.0,
DO,2006,51671825,20.5794,8045093395.515766,6.858719319675203,26863996944.036823,565719329836923.0,
DO,2007,51764112,20.7545,8191152860.591469,6.511573910567052,28821110891.756027,563122387371624.0,
DO,2008,5185655,20.7204,8475994749.808531,6.270991801216967,30445305763.127537,555851195619685.0,
DO,2009,5194915,19.8411,7919261090.42487,6.010213739709524,31258391337.585777,576360601722662.0,
DO,2010,52041907,20.9277,8498455485.662027,5.874931785049122,33848743937.69422,591742745997521.0,
DO,2011,52226476,21.1274,8666785610.347097,5.4136207001604015,35137372571.0444,605071792382531.0,
