iso2,pais,year,gei_total_exclulucf_MtCO2e,renew_cons_pct_tfec,wgi_va_est,wgi_ge_est,indice_riesgo_climatico,tecnologia,informalidad,credito_privado_pct_gdp,superficie_forestal,poblacion,incertidumbre_energetica,vab_manufactura,vab_agricultura,vab_servicios,huella_ecologica,impuesto_medioambiental_moreno,co2_emissions_moreno,PIBpc,renta_rec_nat,impuestos_ambientales,protec_der_lab,innovacion_financiera_access,forest_area_km2,ghg_total_incl_lulucf_mt_co2e,gdp_per_capita_const2015_usd,trade_pct_gdp,fdi_inflows_pct_gdp,renewable_energy_pct_final_energy,domestic_credit_private_pct_gdp,wgi_voice_accountability_est
HT,Haití,2012,12.4418,82.2,-0.7106,,100.8921068,60.5271659107243,,10.814964045335,3721.68,10069771,,2132309054.5660956,19.469903594855527,7179706529.39895,289926415254494.0,,2.7586,1361.3939658737431,0.493447395435744,20.23069936421435,,0.0,3721.68,13.59,1354.88546124499,40.2582414988129,1.13794476642421,82.2,10.814964045335,-0.710594
HT,Haití,2013,12.7205,80.4,-0.7335,,98.80118831,70.044477000521,,10.7615276089025,3690.62,10222362,,2207122200.149067,19.327499956926427,7443691171.872636,287189023169845.0,,2.9774,1457.8322117962648,0.586507266755589,13.561553030303031,,0.0,3690.62,13.8687,1392.38204736859,40.3325097562551,1.0865204500402,80.4,10.7615276089025,-0.7334972
HT,Haití,2014,13.0259,77.8,-0.7323,,99.80642826,65.2574823572396,,11.4152315549394,3659.56,10373235,,2372488065.595417,17.829763647572644,7604679001.21344,260935422158945.0,,3.2283,1460.1889861391446,0.699288591917661,8.947775628626692,,0.0,3659.56,14.1741,1411.76834802154,42.3515259071619,0.653599798370867,77.8,11.4152315549394,-0.7323394
HT,Haití,2015,13.3702,76.1,-0.882,,100.0,69.3702568086907,,10.7679267730686,3628.5,10523242,,2519764492.9468813,17.219898998961888,7787255823.051384,271668627215455.0,,3.494,1411.1268474679646,0.574767533630933,8.277189605389799,,0.0,3628.5,14.5184,1411.12684746796,41.9457381172044,0.711667596569424,76.1,10.7679267730686,-0.8820112
HT,Haití,2016,13.6687,76.1,-0.8411,,100.0905036,60.9477225087446,,10.4552757071217,3597.4,10671457,,2548398029.4257874,17.98351398514613,7976279863.943589,261580189013367.0,,3.578,1318.402681679532,0.790216838420377,6.857142857142858,,0.0,3597.4,14.8169,1416.74881879698,41.4109022161974,0.745596209929376,76.1,10.4552757071217,-0.8411095
HT,Haití,2017,13.6925,76.2,-0.7825,,103.804383,58.2917858919698,,9.82631897315958,3566.3,10817754,,2569084775.1580086,18.826470995019516,8154394748.0920515,245981080495399.0,,3.5867,1395.2394518446108,0.657342723836906,12.37582625118036,,0.0,3566.3,14.8407,1432.67228609541,42.0745477868911,2.48360915333592,76.2,9.82631897315958,-0.7824757
HT,Haití,2018,13.9406,76.2,-0.7806,,104.8968906,60.232256515521,,11.2063306533874,3535.2,10962362,,2602012802.4223804,18.7060141160075,8306288219.433271,221872298541661.0,,3.5577,1496.3804897015589,0.44034486815939,19.211630123927552,,0.0,3535.2,15.0888,1437.35251928349,45.1385763027223,0.640093066153268,76.2,11.2063306533874,-0.7805673
HT,Haití,2019,13.8248,76.4,-0.836,,103.1449997,61.6234088594647,,10.3687008659048,3504.1,11105163,,2627540343.514161,19.187403731504585,8480710242.746416,251659511892262.0,,3.5949,1352.1720419153248,0.443318678876138,19.12429906542056,,0.0,3504.1,14.973,1394.42114071112,44.5687187758294,0.499464210439719,76.4,10.3687008659048,-0.8359679
HT,Haití,2020,13.5144,76.3,-0.871,,103.1837869,65.0933737275708,,8.60933596942957,3473.0,11243848,,2517266859.687112,20.36249373204397,8380159165.421798,224531440368607.0,,3.4445,1290.3253866738314,0.577844130610775,20.398803589232305,,0.0,3473.0,14.6626,1331.69778506932,37.4138801252638,0.17231607778598,76.3,8.60933596942957,-0.8710311
HT,Haití,2021,13.4634,76.7,-1.0935,,103.3558523,64.3451990252656,,8.31227901324056,3441.9,11374586,,2475064557.029759,20.684893342416014,8173218584.141659,226196160225361.0,,3.4083,1841.3318933722196,0.327641965983974,20.54162487462387,,,3441.9,14.6116,1292.71954963551,37.0465594645645,0.244929572826407,76.7,8.31227901324056,-1.0935313
